,City,Country,Lat,Lng,Date,Cloudiness,Humidity,Wind Speed,Max Temp
0,Bredasdorp,ZA,-34.53,20.04,1569169666,28,50,6.93,59.0
1,La Ronge,CA,55.1,-105.3,1569169666,20,67,6.93,59.0
2,Longyearbyen,NO,78.22,15.63,1569169667,40,77,10.29,32.0
3,Ushuaia,AR,-54.81,-68.31,1569169429,90,99,6.24,42.8
4,Pipri,IN,24.21,83.02,1569169667,82,79,3.24,80.61
5,Pitimbu,BR,-7.47,-34.81,1569169667,20,54,10.29,84.2
6,Saint George,GR,39.45,22.34,1569169667,20,56,10.29,71.6
7,Tuatapere,NZ,-46.13,167.69,1569169668,100,56,13.0,57.0
8,Punta Arenas,CL,-53.16,-70.91,1569169668,75,75,5.82,42.8
9,Chuy,UY,-33.69,-53.46,1569169668,0,55,12.82,54.15
10,Isangel,VU,-19.55,169.27,1569169668,75,88,5.82,68.0
11,Cape Town,ZA,-33.93,18.42,1569169668,20,58,18.34,61.0
12,Yumen,CN,40.29,97.04,1569169669,0,14,15.61,68.37
13,Yekaterinoslavka,RU,54.34,72.46,1569169669,100,79,17.65,56.31
14,Mahebourg,MU,-20.41,57.7,1569169669,75,88,13.87,71.6
15,Qaanaaq,GL,77.48,-69.36,1569169669,0,52,5.61,24.27
16,Bilibino,RU,68.06,166.44,1569169670,88,96,2.15,18.87
17,Alibag,IN,18.64,72.88,1569169670,20,83,6.93,82.4
18,Saldanha,PT,41.42,-6.55,1569169670,94,44,10.18,68.19
19,Rikitea,PF,-23.12,-134.97,1569169670,100,85,16.62,70.35
20,Tashtyp,RU,52.8,89.89,1569169670,0,90,1.03,45.15
21,Tuim,RU,54.34,89.93,1569169671,0,88,4.56,46.23
22,Busselton,AU,-33.64,115.35,1569169671,100,66,13.31,48.0
23,Altay,CN,47.83,88.13,1569169671,0,30,6.69,54.33
24,Barrow,AR,-38.31,-60.23,1569169671,0,27,8.9,63.15
25,Ribeira Grande,PT,38.52,-28.7,1569169672,75,88,23.04,75.2
26,Zhezkazgan,KZ,47.8,67.71,1569169672,90,87,20.13,51.8
27,Castro,CL,-42.48,-73.76,1569169437,75,70,9.17,46.4
28,Kaitangata,NZ,-46.28,169.85,1569169672,88,57,3.0,52.0
29,Constitucion,MX,23.99,-104.67,1569169672,5,59,2.24,70.0
30,Musoma,TZ,-1.5,33.81,1569169672,20,65,11.41,78.8
31,Challans,FR,46.85,-1.88,1569169673,40,63,16.11,66.99
32,Atuona,PF,-9.8,-139.03,1569169673,67,80,22.53,79.71
33,Hithadhoo,MV,-0.6,73.08,1569169594,100,78,14.99,82.77
34,New Norfolk,AU,-42.78,147.06,1569169673,83,65,10.29,44.6
35,Ishim,RU,56.11,69.47,1569169673,78,86,13.06,43.53
36,Fortuna,US,40.6,-124.16,1569169674,20,93,8.05,62.01
37,Port Alfred,ZA,-33.59,26.89,1569169674,20,88,8.01,55.99
38,Hobart,AU,-42.88,147.33,1569169550,83,65,8.05,44.6
39,Hun,BE,50.34,4.87,1569169674,76,77,11.41,75.2
40,Beringovskiy,RU,63.05,179.32,1569169674,0,73,4.61,27.87
41,Jamestown,AU,-33.21,138.6,1569169675,18,98,7.67,42.99
42,Pathein,MM,16.78,94.73,1569169675,76,90,8.08,77.91
43,Coquimbo,CL,-29.95,-71.34,1569169565,90,87,8.05,53.6
44,Cheyenne,US,41.14,-104.82,1569169666,1,28,23.04,63.0
45,Lagos,NG,6.46,3.39,1569169499,40,66,5.82,86.0
46,East London,ZA,-33.02,27.91,1569169675,0,82,12.75,55.4
47,Yellowknife,CA,62.45,-114.38,1569169676,75,87,5.82,53.6
48,Mataura,NZ,-46.19,168.86,1569169676,100,56,13.0,57.0
49,Labuhan,ID,-2.54,115.51,1569169676,9,84,1.97,74.67
50,Tomatlan,MX,19.93,-105.25,1569169676,4,84,6.15,80.79
51,Aberdeen,US,46.98,-123.82,1569169676,90,100,6.93,62.01
52,Puerto Ayora,EC,-0.74,-90.35,1569169677,75,56,18.34,73.4
53,Arraial do Cabo,BR,-22.97,-42.02,1569169677,75,88,12.75,73.4
54,Pevek,RU,69.7,170.27,1569169677,100,92,16.4,36.69
55,Sesheke,NA,-17.47,24.29,1569169677,78,6,1.12,91.4
56,Okhotsk,RU,59.36,143.24,1569169677,38,79,4.54,40.83
57,Rocha,UY,-34.48,-54.34,1569169678,0,44,10.33,56.13
58,Maralal,KE,1.1,36.7,1569169678,100,59,9.57,70.35
59,Yulara,AU,-25.24,130.99,1569169678,0,24,10.29,59.0
60,Crotone,IT,39.09,17.12,1569169678,20,78,8.05,73.4
61,Vaini,IN,15.34,74.49,1569169678,59,90,0.6,76.11
62,Antofagasta,CL,-23.65,-70.4,1569169679,20,72,12.75,59.0
63,Carlsbad,CZ,50.23,12.87,1569169679,0,51,6.93,66.99
64,San Quintin,PH,17.54,120.52,1569169679,10,88,2.75,72.15
65,Kapaa,US,22.08,-159.32,1569169679,20,88,5.82,75.2
66,Beaverton,US,45.49,-122.8,1569169569,90,87,6.93,59.0
67,Saint-Pierre,FR,48.95,4.24,1569169680,96,93,10.29,64.4
68,Faanui,PF,-16.48,-151.75,1569169680,0,81,19.15,80.25
69,Teguldet,RU,57.31,88.17,1569169680,100,70,11.32,51.81
70,Katsuura,JP,33.93,134.5,1569169680,90,94,34.45,80.6
71,Nantucket,US,41.28,-70.1,1569169680,1,83,10.29,77.0
72,Cherskiy,RU,68.75,161.3,1569169681,100,97,4.94,27.87
73,Sao Filipe,CV,14.9,-24.5,1569169681,14,86,16.28,81.15
74,Albany,US,42.65,-73.75,1569169420,75,50,8.05,80.01
75,Vao,EE,59.1,26.19,1569169681,40,59,9.93,47.13
76,Eyl,SO,7.98,49.82,1569169681,0,66,23.64,78.45
77,Hermanus,ZA,-34.42,19.24,1569169682,0,63,1.99,59.0
78,Rantepao,ID,-2.97,119.9,1569169682,94,96,2.62,58.11
79,Lebu,ET,8.96,38.73,1569169682,90,87,4.7,59.0
80,Vila,IT,45.18,8.4,1569169682,75,87,2.8,64.4
81,Port Elizabeth,US,39.31,-74.98,1569169682,40,54,5.82,87.01
82,Sulphur,US,30.24,-93.38,1569169683,40,66,12.75,87.8
83,Zabaykalsk,CN,49.64,117.33,1569169683,0,64,7.02,56.31
84,Cabo San Lucas,MX,22.89,-109.91,1569169599,90,88,9.17,88.0
85,Bathsheba,BB,13.22,-59.52,1569169683,75,70,24.16,86.0
86,Sangod,IN,24.93,76.29,1569169684,50,89,6.42,75.93
87,Severo-Kurilsk,RU,50.68,156.12,1569169684,99,85,9.64,47.67
88,Port Lincoln,AU,-34.72,135.86,1569169684,35,64,14.58,54.51
89,Esperance,AU,-33.86,121.89,1569169684,90,93,2.33,50.0
90,Guerrero Negro,MX,27.97,-114.04,1569169685,0,81,3.4,70.35
91,Bileca,BA,42.87,18.43,1569169685,0,60,9.17,73.4
92,Ranau,MY,5.95,116.67,1569169685,75,88,2.24,80.6
93,Nenita,PH,12.49,124.8,1569169685,26,85,3.36,77.91
94,Nanortalik,GL,60.14,-45.24,1569169685,99,81,9.17,41.37
95,Salalah,OM,17.01,54.1,1569169686,75,78,6.93,80.6
96,Flinders,AU,-34.58,150.85,1569169686,31,93,3.36,57.99
97,Kununurra,AU,-15.77,128.74,1569169686,1,57,2.82,78.8
98,Mar del Plata,AR,-46.43,-67.52,1569169686,55,33,20.2,52.35
99,Zalantun,CN,48.0,122.72,1569169686,0,64,3.42,53.25
100,Hambantota,LK,6.12,81.12,1569169687,90,100,6.93,77.0
101,Saint-Philippe,CA,45.36,-73.48,1569169687,75,60,10.29,80.01
102,Carnarvon,ZA,-30.97,22.13,1569169687,0,31,26.8,56.31
103,Bukan,IR,36.52,46.21,1569169687,0,47,3.44,57.93
104,Avarua,CK,-21.21,-159.78,1569169687,100,94,1.12,69.8
105,Vestmannaeyjar,IS,63.44,-20.27,1569169688,90,100,26.4,51.8
106,Pangnirtung,CA,66.15,-65.72,1569169688,20,80,5.82,39.2
107,Muyezerskiy,RU,63.93,31.65,1569169688,73,71,11.18,36.69
108,Yushu,CN,44.84,126.53,1569169688,0,77,2.3,52.35
109,Chokurdakh,RU,70.62,147.9,1569169689,0,83,8.48,26.43
110,Katakwi,UG,1.91,33.96,1569169689,48,63,6.38,79.35
111,Nikolskoye,RU,59.7,30.79,1569169689,75,70,8.95,43.0
112,Slobodskoy,RU,58.73,50.18,1569169689,100,90,2.21,35.79
113,Srivardhan,IN,18.03,73.02,1569169690,37,87,7.07,78.99
114,Pacific Grove,US,36.62,-121.92,1569169588,90,87,3.36,71.01
115,Tsabong,BW,-26.02,22.4,1569169691,0,13,24.45,71.79
116,Cortez,US,37.35,-108.58,1569169691,1,28,3.33,64.0
117,Pisco,PE,-13.71,-76.2,1569169691,0,30,9.17,71.6
118,Geraldton,CA,49.72,-86.95,1569169691,40,72,9.17,68.0
119,Georgetown,GY,6.8,-58.16,1569169691,75,74,16.11,89.6
120,Clyde River,CA,70.47,-68.59,1569169692,90,88,13.87,32.0
121,Sabla,NG,12.75,4.71,1569169692,0,27,1.5,98.25
122,Port-Gentil,GA,-0.72,8.78,1569169692,40,78,14.99,82.4
123,San Patricio,PY,-26.98,-56.83,1569169692,98,35,11.45,69.99
124,Tasiilaq,GL,65.61,-37.64,1569169692,100,75,33.33,44.6
125,Portland,US,43.66,-70.25,1569168858,1,44,6.93,81.0
126,Byron Bay,AU,-28.65,153.62,1569169693,0,82,10.29,66.2
127,Khatanga,RU,71.98,102.47,1569169693,100,96,16.4,36.33
128,Lagoa,PT,37.14,-8.45,1569169693,20,78,14.99,77.0
129,Talnakh,RU,69.49,88.39,1569169693,75,78,15.66,37.4
130,Kamenka,MD,48.03,28.7,1569169694,0,54,8.39,64.0
131,Sitka,US,37.17,-99.65,1569169694,55,61,15.01,68.0
132,Shuyskoye,RU,59.37,41.03,1569169694,67,88,6.53,36.15
133,Saskylakh,RU,71.97,114.09,1569169695,100,89,13.76,37.59
134,Mareeba,AU,-16.99,145.42,1569169695,75,78,11.41,71.6
135,Chapais,CA,49.78,-74.86,1569169695,90,93,10.29,66.2
136,Aginskoye,RU,51.11,114.54,1569169695,21,65,7.87,48.93
137,Mataram,ID,-5.32,105.06,1569169695,100,93,1.57,68.73
138,Hondo,US,29.35,-99.14,1569169696,75,48,6.93,87.8
139,Ust-Tsilma,RU,65.44,52.15,1569169696,85,94,2.42,32.73
140,Lazaro Cardenas,MX,28.39,-105.62,1569169696,90,83,4.7,75.0
141,Churapcha,RU,62.0,132.43,1569169696,99,98,1.66,35.79
142,Kysyl-Syr,RU,63.9,122.77,1569169696,98,91,8.34,40.29
143,Bluff,AU,-23.58,149.07,1569169696,77,72,6.17,61.53
144,Lake Charles,US,30.23,-93.22,1569169697,20,62,13.87,87.8
145,Talcahuano,CL,-36.72,-73.12,1569169697,0,54,10.29,59.0
146,Jacareacanga,BR,-6.22,-57.76,1569169697,81,63,4.52,82.77
147,Madona,LV,56.85,26.22,1569169697,18,61,7.05,46.95
148,Vila do Maio,CV,15.13,-23.22,1569169697,40,55,16.11,91.4
149,Atar,MR,20.52,-13.05,1569169698,0,13,9.17,106.53
150,Salmas,IR,38.2,44.77,1569169698,0,47,2.24,55.4
151,Magadan,RU,59.56,150.8,1569169698,88,87,9.69,46.05
152,Bonthe,SL,7.53,-12.5,1569169698,100,76,10.98,81.33
153,Nuuk,GL,64.17,-51.74,1569169402,20,86,4.7,41.0
154,Aykhal,RU,65.95,111.51,1569169699,90,80,8.95,33.8
155,Mnogovershinnyy,RU,53.94,139.92,1569169699,47,75,7.38,40.29
156,Kokrajhar,IN,26.4,90.27,1569169699,54,88,4.68,78.45
157,Borogontsy,RU,62.67,131.17,1569169699,95,98,2.42,34.35
158,Zaokskiy,RU,54.73,37.4,1569169700,40,80,6.71,39.2
159,Hovd,NO,63.83,10.7,1569169700,0,71,13.87,53.01
160,Santa Rosa,AR,-36.62,-64.29,1569169700,0,27,14.67,64.77
161,Tadine,NC,-21.55,167.88,1569169700,76,71,22.08,69.99
162,Moron,HT,18.56,-74.26,1569169700,46,72,10.18,84.57
163,Lorengau,PG,-2.02,147.27,1569169701,100,84,2.93,77.37
164,Clemson,US,34.69,-82.84,1569169701,1,48,3.36,86.0
165,Narasannapeta,IN,18.42,84.04,1569169701,53,87,2.46,79.53
166,Port Blair,IN,11.67,92.75,1569169701,100,82,8.3,80.25
167,Purmerend,NL,52.5,4.96,1569169702,0,53,9.17,79.0
168,Lewisporte,CA,49.25,-55.06,1569169702,75,42,16.11,66.0
169,Nome,US,30.04,-94.42,1569169702,75,62,9.17,88.0
170,Tiksi,RU,71.64,128.87,1569169702,100,97,5.95,36.87
171,Paamiut,GL,61.99,-49.67,1569169702,0,80,7.31,39.39
172,Cabedelo,BR,-6.97,-34.84,1569169703,20,54,10.29,84.2
173,Ouargaye,BF,11.5,0.06,1569169703,66,42,2.08,93.57
174,Bawku,GH,11.06,-0.24,1569169703,69,48,1.92,91.95
175,Sweetwater,US,32.47,-100.41,1569169703,40,78,18.34,86.0
176,Padang,ID,-0.92,100.36,1569169703,44,85,15.7,79.35
177,Ancud,CL,-41.87,-73.83,1569169704,0,66,9.17,48.2
178,Imbituba,BR,-28.24,-48.67,1569169704,20,64,16.11,69.8
179,Haines Junction,CA,60.75,-137.51,1569169704,100,97,4.32,33.09
180,Victoria,BN,5.28,115.24,1569169704,75,83,2.24,82.4
181,Waingapu,ID,-9.65,120.26,1569169704,65,93,3.74,68.55
182,Ust-Koksa,RU,50.27,85.62,1569169705,0,49,7.09,49.11
183,Acapulco,MX,16.86,-99.88,1569169435,75,78,0.81,82.4
184,Deputatskiy,RU,69.3,139.9,1569169705,100,89,2.71,27.33
185,Guilin,CN,25.28,110.29,1569169705,20,68,4.47,66.2
186,Oranjemund,ZA,-28.55,16.43,1569169705,0,80,29.1,57.57
187,Hualmay,PE,-11.1,-77.61,1569169706,100,90,9.31,60.63
188,Tura,RU,64.27,100.22,1569169570,0,83,6.87,30.21
189,Aksu,KZ,52.04,76.93,1569169706,40,26,13.42,71.6
190,Belyy Yar,RU,53.6,91.39,1569169706,0,87,2.24,46.4
191,Yalkhoy-Mokhk,RU,43.11,46.19,1569169706,0,62,4.47,51.8
192,Dikson,RU,73.51,80.55,1569169707,100,94,20.18,39.03
193,Avera,US,33.19,-82.53,1569169707,1,39,4.7,82.99
194,Gelgaudiskis,LT,55.08,22.98,1569169707,94,78,7.56,60.27
195,Mount Isa,AU,-20.73,139.49,1569169707,0,18,12.75,69.8
196,Bundibugyo,UG,0.71,30.06,1569169707,48,94,0.67,57.21
197,Hilo,US,19.71,-155.08,1569169708,40,69,6.93,75.2
198,Macapa,BR,0.05,-51.07,1569169708,40,55,6.93,91.4
199,Dezful,IR,32.38,48.4,1569169708,0,10,12.55,99.33
200,Manicore,BR,-5.81,-61.3,1569169708,95,51,4.07,90.87
201,Pangody,RU,65.85,74.49,1569169708,100,68,17.2,38.49
202,Fairview,CA,56.07,-118.38,1569169709,40,58,11.41,59.0
203,Grindavik,IS,63.84,-22.43,1569169709,90,93,23.04,55.4
204,Kavaratti,IN,10.57,72.64,1569169709,94,77,8.14,82.41
205,Kazachinskoye,RU,57.69,93.28,1569169709,90,73,9.28,43.89
206,Lavrentiya,RU,65.58,-170.99,1569169709,100,87,4.9,29.49
207,Bethel,US,60.79,-161.76,1569169710,20,93,12.75,41.0
208,Mogadishu,SO,2.04,45.34,1569169710,100,71,16.91,77.55
209,Ozernovskiy,RU,51.5,156.52,1569169710,97,87,5.86,43.53
210,Butaritari,KI,3.07,172.79,1569169711,97,60,6.13,84.57
211,Bouna,CI,9.27,-3.0,1569169711,92,67,4.21,84.21
212,San Antonio,CL,-33.58,-71.61,1569169597,40,76,9.17,57.2
213,Mandiana,GN,10.62,-8.7,1569169712,28,60,3.15,87.09
214,Iskateley,RU,67.68,53.15,1569169712,100,75,5.93,36.33
215,North Bend,US,43.41,-124.22,1569169712,90,100,11.41,62.01
216,Chifeng,CN,42.27,118.96,1569169712,0,39,4.47,53.07
217,Ewa Beach,US,21.32,-158.01,1569169712,75,83,3.53,78.8
218,Kenai,US,60.55,-151.26,1569169712,1,100,3.36,36.0
219,Lastoursville,GA,-0.81,12.73,1569169713,33,67,2.86,85.65
220,Chililabombwe,ZM,-12.37,27.84,1569169713,64,16,6.26,88.89
221,Zhigansk,RU,66.77,123.37,1569169713,95,85,10.51,37.77
222,Berlevag,NO,70.86,29.09,1569169713,75,76,18.34,39.2
223,Rabo de Peixe,PT,37.8,-25.58,1569169714,75,94,18.34,71.6
224,Suntar,RU,62.16,117.65,1569169714,63,89,6.71,37.77
225,Borda da Mata,BR,-22.27,-46.17,1569169714,20,57,4.23,78.8
226,Xining,CN,36.62,101.77,1569169714,100,92,7.25,39.21
227,Le Port,FR,42.87,1.37,1569169714,100,71,5.99,63.0
228,Tuktoyaktuk,CA,69.44,-133.03,1569169715,90,93,12.75,39.2
229,Shanhetun,CN,44.7,127.2,1569169715,0,79,3.8,51.27
230,Emerald,AU,-23.53,148.16,1569169715,53,55,4.79,66.2
231,Emirdag,TR,39.02,31.15,1569169715,0,26,10.07,60.09
232,Crestline,US,40.79,-82.74,1569169715,1,42,11.41,84.99
233,Pozhva,RU,59.09,56.08,1569169716,83,87,1.61,33.63
234,Port Shepstone,ZA,-30.74,30.45,1569169716,100,80,17.22,57.21
235,Sorong,ID,-0.86,131.25,1569169716,50,96,5.03,72.33
236,Winneba,GH,5.35,-0.62,1569169716,20,78,14.99,82.4
237,Tokonou,GN,9.65,-9.78,1569169717,93,70,3.65,82.77
238,Lompoc,US,34.64,-120.46,1569169717,1,55,2.46,75.99
239,Narsaq,GL,60.91,-46.05,1569169717,0,70,2.24,42.8
240,Klaksvik,FO,62.23,-6.59,1569169717,62,93,28.86,53.6
241,Namatanai,PG,-3.66,152.44,1569169717,100,79,3.8,78.27
242,Letlhakane,BW,-21.42,25.59,1569169718,0,5,4.76,91.95
243,Kochki,RU,54.33,80.49,1569169718,93,41,19.19,66.03
244,Komsomolskiy,RU,67.55,63.78,1569169718,99,81,3.76,32.73
245,Hamilton,CA,43.26,-79.87,1569169506,40,61,24.16,86.0
246,Chopinzinho,BR,-25.86,-52.53,1569169718,100,49,7.9,72.51
247,Faya,SA,18.39,42.45,1569169719,0,12,11.41,77.0
248,Terme,TR,41.21,36.97,1569169719,0,67,2.24,59.0
249,Kijang,KR,35.24,129.21,1569169720,90,77,10.29,66.2
250,Kopaganj,IN,26.02,83.57,1569169720,59,77,5.44,81.15
251,Rongcheng,CN,37.16,122.42,1569169720,0,39,10.56,70.0
252,Kushima,JP,31.5,131.29,1569169720,99,94,17.0,73.0
253,Kodiak,US,39.95,-94.76,1569169720,90,100,12.75,69.01
254,Vila Velha,BR,-3.71,-38.6,1569169721,40,58,18.34,86.0
255,Vostok,RU,46.45,135.83,1569169721,0,86,3.27,41.55
256,Porto Novo,BR,-23.68,-45.44,1569169721,75,82,5.82,68.0
257,Bahia Blanca,AR,-38.72,-62.27,1569169643,0,27,12.3,64.95
258,Mehamn,NO,71.03,27.85,1569169721,75,80,20.8,41.0
259,Podporozhye,RU,60.91,34.16,1569169722,65,74,11.88,40.83
260,Menongue,AO,-14.66,17.68,1569169722,56,8,2.3,95.01
261,Bandarbeyla,SO,9.49,50.81,1569169722,87,66,27.76,79.35
262,Cayenne,GF,4.94,-52.33,1569169722,20,59,10.29,89.6
263,Filingue,NE,14.35,3.32,1569169722,50,15,4.09,102.75
264,Morant Bay,JM,17.88,-76.41,1569169723,20,70,13.87,87.8
265,Kathu,ZA,-27.7,23.05,1569169723,0,29,1.99,66.0
266,Makokou,GA,0.56,12.85,1569169723,18,70,3.06,82.95
267,Huarmey,PE,-10.07,-78.15,1569169723,100,92,9.71,60.45
268,Tilichiki,RU,60.47,166.1,1569169724,100,87,3.67,37.95
269,Gizo,IL,31.8,34.94,1569169724,0,61,11.41,82.99
270,Port Hedland,AU,-20.31,118.58,1569169724,0,17,8.05,64.4
271,Thompson,CA,55.74,-97.86,1569169505,40,66,4.7,55.4
272,Baracoa,CU,20.35,-74.5,1569169724,15,68,4.85,84.57
273,Bima,ID,-8.45,118.73,1569169725,0,94,1.3,67.83
274,Ostrovnoy,RU,68.05,39.51,1569169725,100,80,22.26,38.13
275,Harper,US,30.3,-99.24,1569169725,90,62,11.41,84.2
276,Kruisfontein,ZA,-34.0,24.73,1569169725,70,65,21.61,52.89
277,Nishihara,JP,35.74,139.53,1569169725,90,94,3.36,73.0
278,Saint-Paul,FR,45.22,1.9,1569169726,100,93,5.82,62.01
279,Smithers,CA,54.78,-127.17,1569169726,40,87,3.04,50.0
280,Tarko-Sale,RU,64.92,77.78,1569169726,100,91,1.01,37.99
